pl_name,hostname,sy_snum,sy_pnum,cb_flag,disc_pubdate
11 Com b,11 Com,2,1,0,2008-01
11 UMi b,11 UMi,1,1,0,2009-10
14 And b,14 And,1,1,0,2008-12
14 Her b,14 Her,1,2,0,2003-01
16 Cyg B b,16 Cyg B,3,1,0,1997-07
17 Sco b,17 Sco,1,1,0,2020-12
18 Del b,18 Del,2,1,0,2008-06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008-12
24 Boo b,24 Boo,1,1,0,2018-08
24 Sex b,24 Sex,1,2,0,2011-01
24 Sex c,24 Sex,1,2,0,2011-01
2M0437 b,2MASS J04372171+2651014,1,1,0,2021-10
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,1,2013-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013-09
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,2015-06
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,1,2018-08
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,2024-01
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,2010-05
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,2024-01
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,2024-01
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004-10
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,1,2015-05
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,2024-01
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,2017-01
30 Ari B b,30 Ari B,4,1,0,2009-12
4 UMa b,4 UMa,1,1,0,2007-09
42 Dra b,42 Dra,2,1,0,2009-06
47 UMa b,47 UMa,1,3,0,1996-06
47 UMa c,47 UMa,1,3,0,2002-01
47 UMa d,47 UMa,1,3,0,2010-04
51 Eri b,51 Eri,3,1,0,2015-00
51 Peg b,51 Peg,1,1,0,1995-11
55 Cnc b,55 Cnc,2,5,0,1997-01
55 Cnc c,55 Cnc,2,5,0,2004-10
55 Cnc d,55 Cnc,2,5,0,2002-12
55 Cnc e,55 Cnc,2,5,0,2004-10
55 Cnc f,55 Cnc,2,5,0,2008-03
6 Lyn b,6 Lyn,1,1,0,2008-12
61 Vir b,61 Vir,1,3,0,2010-01
61 Vir c,61 Vir,1,3,0,2010-01
61 Vir d,61 Vir,1,3,0,2010-01
7 CMa b,7 CMa,1,2,0,2011-12
7 CMa c,7 CMa,1,2,0,2019-11
70 Vir b,70 Vir,1,1,0,1996-06
75 Cet b,75 Cet,2,2,0,2012-12
75 Cet c,75 Cet,2,2,0,2023-08
8 UMi b,8 UMi,1,1,0,2015-12
81 Cet b,81 Cet,1,1,0,2008-12
91 Aqr b,91 Aqr,3,1,0,2013-07
AB Aur b,AB Aur,1,1,0,2022-04
AB Pic b,AB Pic,1,1,0,2005-08
AF Lep b,AF Lep,1,1,0,2023-02
AU Mic b,AU Mic,1,3,0,2020-06
AU Mic c,AU Mic,1,3,0,2021-05
AU Mic d,AU Mic,1,3,0,2023-12
BD+03 2562 b,BD+03 2562,1,1,0,2017-10
BD+14 4559 b,BD+14 4559,1,1,0,2009-12
BD+15 2375 b,BD+15 2375,1,1,0,2016-04
BD+15 2940 b,BD+15 2940,1,1,0,2013-06
BD+20 2457 b,BD+20 2457,1,2,0,2009-12
BD+20 2457 c,BD+20 2457,1,2,0,2009-12
BD+20 274 b,BD+20 274,1,1,0,2012-09
BD+20 594 b,BD+20 594,1,1,0,2016-10
BD+45 564 b,BD+45 564,1,1,0,2021-07
BD+48 738 b,BD+48 738,1,1,0,2012-01
BD+48 740 b,BD+48 740,1,1,0,2018-05
