table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,pl_name,char,30.0,,30.0,Planet Name,,,,0,1,0,1,30s
ps,pl_letter,char,10.0,,10.0,Planet Letter,,,,0,0,0,2,10s
ps,hostname,char,28.0,,28.0,Host Name,,,,0,1,0,3,28s
ps,hd_name,char,14.0,,14.0,HD ID,,,,0,0,0,4,14s
ps,hip_name,char,15.0,,15.0,HIP ID,,,,0,0,0,5,15s
ps,tic_id,char,16.0,,16.0,TIC ID,,,,0,0,0,6,16s
ps,default_flag,int,,,,Default Parameter Set,,,,0,1,0,7,13d
ps,pl_refname,char,200.0,,200.0,Planetary Parameter Reference,,,,0,1,0,8,200s
ps,st_refname,char,200.0,,200.0,Stellar Parameter Reference,,,,0,1,0,9,200s
ps,sy_refname,char,200.0,,200.0,System Parameter Reference,,,,0,1,0,10,200s
ps,disc_pubdate,char,23.0,,23.0,Discovery Publication Date,,,,0,0,0,11,23s
ps,disc_year,int,,,,Discovery Year,,,,0,1,0,12,9d
ps,discoverymethod,char,30.0,,30.0,Discovery Method,,,,0,1,0,13,30s
ps,disc_locale,char,17.0,,17.0,Discovery Locale,,,,0,0,0,14,17s
ps,disc_facility,char,45.0,,45.0,Discovery Facility,,,,0,1,0,15,45s
ps,disc_instrument,char,41.0,,41.0,Discovery Instrument,,,,0,0,0,16,41s
ps,disc_telescope,char,60.0,,60.0,Discovery Telescope,,,,0,0,0,17,60s
ps,disc_refname,char,179.0,,179.0,Discovery Reference,,,,0,0,0,18,179s
ps,ra,double,,,,RA [decimal],,deg,pos.eq.ra;meta.main,0,1,0,19,14.7f
ps,rastr,char,200.0,,200.0,RA [sexagesimal],,hhmmss,,0,1,0,20,200s
ps,dec,double,,,,Dec [decimal],,deg,pos.eq.dec;meta.main,0,1,0,21,14.7f
ps,decstr,char,200.0,,200.0,Dec [sexagesimal],,ddmmss,,0,1,0,22,200s
ps,glon,double,,,,Galactic Longitude [deg],,deg,,0,0,0,23,14.5f
ps,glat,double,,,,Galactic Latitude [deg],,deg,,0,0,0,24,14.5f
ps,elon,double,,,,Ecliptic Longitude [deg],,deg,,0,0,0,25,14.5f
ps,elat,double,,,,Ecliptic Latitude [deg],,deg,,0,0,0,26,14.5f
ps,pl_orbper,double,,,,Orbital Period [day],,day,,0,1,0,27,20.8f
ps,pl_orbpererr1,double,,,,Orbital Period Upper Unc. [day],,day,,0,1,0,28,20.8f
ps,pl_orbpererr2,double,,,,Orbital Period Lower Unc. [day],,day,,0,1,0,29,20.8f
ps,pl_orbperlim,int,,,,Orbital Period Limit Flag,,,,0,1,0,30,13d
ps,pl_orbperstr,char,200.0,,200.0,Orbital Period [day],,day,,0,0,0,31,200s
ps,pl_orblpererr1,double,,,,Argument of Periastron Upper Unc. [deg],,deg,,0,0,0,32,8.4f
ps,pl_orblper,double,,,,Argument of Periastron [deg],,deg,,0,0,0,33,8.4f
ps,pl_orblpererr2,double,,,,Argument of Periastron Lower Unc. [deg],,deg,,0,0,0,34,8.4f
ps,pl_orblperlim,int,,,,Argument of Periastron Limit Flag,,,,0,0,0,35,14d
ps,pl_orblperstr,char,200.0,,200.0,Argument of Periastron [deg],,deg,,0,0,0,36,200s
ps,pl_orbsmax,double,,,,Orbit Semi-Major Axis [au],,au,,0,1,0,37,12.6f
ps,pl_orbsmaxerr1,double,,,,Orbit Semi-Major Axis Upper Unc. [au],,au,,0,1,0,38,12.6f
ps,pl_orbsmaxerr2,double,,,,Orbit Semi-Major Axis Lower Unc. [au],,au,,0,1,0,39,12.6f
ps,pl_orbsmaxlim,int,,,,Orbit Semi-Major Axis Limit Flag,,,,0,1,0,40,14d
ps,pl_orbsmaxstr,char,200.0,,200.0,Orbit Semi-Major Axis [au],,au,,0,0,0,41,200s
ps,pl_orbincl,double,,,,Inclination [deg],,deg,,0,0,0,42,6.3f
ps,pl_orbinclerr1,double,,,,Inclination Upper Unc. [deg],,deg,,0,0,0,43,6.3f
ps,pl_orbinclerr2,double,,,,Inclination Lower Unc. [deg],,deg,,0,0,0,44,6.3f
ps,pl_orbincllim,int,,,,Inclination Limit Flag,,,,0,0,0,45,14d
ps,pl_orbinclstr,char,200.0,,200.0,Inclination [deg],,deg,,0,0,0,46,200s
