hostname,sy_name,last_updated
11 Com,11 Com,2024-12-18 11:06:06
11 Com B,11 Com,2024-12-18 11:06:06
11 UMi,11 UMi,2024-12-18 11:06:06
14 And,14 And,2024-12-18 11:06:06
14 Her,14 Her,2024-12-18 11:06:06
16 Cyg B,16 Cyg,2024-12-18 11:06:06
16 Cyg C,16 Cyg,2024-12-18 11:06:06
17 Sco,17 Sco,2024-12-18 11:06:06
18 Del,18 Del,2024-12-18 11:06:06
18 Del B,18 Del,2024-12-18 11:06:06
1RXS J160929.1-210524,1RXS J160929.1-210524,2024-12-18 11:06:06
24 Boo,24 Boo,2024-12-18 11:06:06
24 Sex,24 Sex,2024-12-18 11:06:06
2MASS J01033563-5515561 A,2MASS J01033563-5515561,2024-12-18 11:06:06
2MASS J01033563-5515561 B,2MASS J01033563-5515561,2024-12-18 11:06:06
2MASS J01225093-2439505,2MASS J01225093-2439505,2024-12-18 11:06:06
2MASS J02192210-3925225,2MASS J02192210-3925225,2024-12-18 11:06:06
2MASS J0249-0557 A,2MASS J0249-0557,2024-12-18 11:06:06
2MASS J0249-0557 B,2MASS J0249-0557,2024-12-18 11:06:06
2MASS J03220140+1714465,TOI-5076,2024-12-18 11:06:06
2MASS J03590986+2009361,2MASS J03590986+2009361,2024-12-18 11:06:06
2MASS J04372171+2651014,2MASS J04372171+2651014,2024-12-18 11:06:06
2MASS J04414489+2301513,2MASS J04414489+2301513,2024-12-18 11:06:06
2MASS J05064475-1835567,TOI-942,2024-12-18 11:06:06
2MASS J05064509-1836091,TOI-942,2024-12-18 11:06:06
2MASS J05154048+1616394,EPIC 246851721,2024-12-18 11:06:06
2MASS J05272374-1416122,TOI-421,2024-12-18 11:06:06
2MASS J11011926-7732383,2MASS J11011926-7732383,2024-12-18 11:06:06
2MASS J11550485-7919108,2MASS J11550485-7919108,2024-12-18 11:06:06
2MASS J12073346-3932539,2MASS J12073346-3932539,2024-12-18 11:06:06
2MASS J12514562-8806328,HD 110082,2024-12-18 11:06:06
2MASS J15283577+6621288,KELT-23,2024-12-18 11:06:06
2MASS J16262774-2527247,ROXs 12,2024-12-18 11:06:06
2MASS J19144055-5934460,HATS-48,2024-12-18 11:06:06
2MASS J19270636+0122577,CoRoT-2,2024-12-18 11:06:06
2MASS J19383260+4603591,2MASS J19383260+4603591,2024-12-18 11:06:06
2MASS J19383260+4603591 Ab,2MASS J19383260+4603591,2024-12-18 11:06:06
2MASS J21252752-8138278,2MASS J21252752-8138278,2024-12-18 11:06:06
2MASS J22362452+4751425,2MASS J22362452+4751425,2024-12-18 11:06:06
30 Ari A,30 Ari,2024-12-18 11:06:06
30 Ari A B,30 Ari,2024-12-18 11:06:06
30 Ari B,30 Ari,2024-12-18 11:06:06
30 Ari B B,30 Ari,2024-12-18 11:06:06
