sy_name,sy_snum,sy_pnum
11 Com,2,1
11 UMi,1,1
14 And,1,1
14 Her,1,2
16 Cyg,3,1
17 Sco,1,1
18 Del,2,1
1RXS J160929.1-210524,1,1
24 Boo,1,1
24 Sex,1,2
2MASS J01033563-5515561,2,1
2MASS J01225093-2439505,1,1
2MASS J02192210-3925225,1,1
2MASS J0249-0557,2,1
2MASS J03590986+2009361,1,1
2MASS J04372171+2651014,1,1
2MASS J04414489+2301513,1,1
2MASS J11011926-7732383,1,1
2MASS J11550485-7919108,1,1
2MASS J12073346-3932539,1,1
2MASS J19383260+4603591,2,3
2MASS J21252752-8138278,1,1
2MASS J22362452+4751425,1,1
30 Ari,4,1
4 UMa,1,1
42 Dra,2,1
47 UMa,1,3
51 Eri,3,1
51 Peg,1,1
55 Cnc,2,5
6 Lyn,1,1
61 Vir,1,3
7 CMa,1,2
70 Vir,1,1
75 Cet,2,2
8 UMi,1,1
81 Cet,1,1
91 Aqr,3,1
AB Aur,1,1
AB Pic,1,1
AF Lep,1,1
AU Mic,1,3
BD+03 2562,1,1
BD+14 4559,1,1
BD+15 2375,1,1
BD+15 2940,1,1
BD+20 2457,1,2
BD+20 274,1,1
BD+20 594,1,1
BD+45 564,1,1
BD+48 738,1,1
BD+48 740,1,1
BD+49 828,1,1
BD+55 362,1,1
BD+60 1417,1,1
BD+63 1405,1,1
BD-06 1339,1,2
BD-08 2823,1,2
BD-10 3166,1,1
BD-11 4672,1,2
BD-13 2130,1,1
BD-14 3065,3,1
BD-17 63,1,1
BD-210397,1,2
CD Cet,1,1
CFBDSIR J145829+101343,1,1
CFHTWIR-Oph 98,1,1
CHXR 73,1,1
CI Tau,1,1
COCONUTS-2,1,1
CT Cha,1,1
CoRoT-1,1,1
CoRoT-10,1,1
CoRoT-11,1,1
CoRoT-12,1,1
CoRoT-13,1,1
CoRoT-14,1,1
CoRoT-16,1,1
CoRoT-17,1,1
CoRoT-18,1,1
CoRoT-19,1,1
CoRoT-2,2,1
CoRoT-20,1,2
CoRoT-21,1,1
CoRoT-22,1,1
CoRoT-23,1,1
CoRoT-24,1,2
CoRoT-25,1,1
CoRoT-26,1,1
CoRoT-27,1,1
CoRoT-28,1,1
CoRoT-29,1,1
CoRoT-3,1,1
CoRoT-30,1,1
CoRoT-31,1,1
CoRoT-35,1,1
CoRoT-36,1,1
CoRoT-4,1,1
CoRoT-5,1,1
CoRoT-6,1,1
CoRoT-7,1,3
CoRoT-8,1,1
CoRoT-9,2,1
CoRoTID 223977153,1,1
DE CVn,2,1
DENIS-P J082303.1-491201,1,1
DH Tau,1,1
DMPP-1,1,4
DMPP-2,1,1
DMPP-3,2,1
DMPP-4,1,1
DP Leo,2,1
DS Tuc,2,1
EPIC 201170410,1,1
EPIC 201238110,1,1
EPIC 201427007,1,1
EPIC 201497682,1,1
EPIC 201595106,1,1
EPIC 201757695,1,1
EPIC 201841433,1,1
EPIC 206024342,1,3
EPIC 206032309,1,1
EPIC 206042996,1,2
EPIC 206215704,1,1
EPIC 206317286,1,2
EPIC 211822797,1,1
EPIC 211945201,1,1
EPIC 212297394,1,2
EPIC 212424622,1,1
EPIC 212499991,1,1
EPIC 212587672,1,2
EPIC 212624936,1,2
EPIC 212737443,1,2
EPIC 220492298,1,1
EPIC 220674823,1,2
EPIC 228836835,1,1
EPIC 229004835,1,1
EPIC 246851721,2,1
