sy_name,sy_snum,sy_pnum,cb_flag,st_rad
MOA-2010-BLG-117L,1,1,0,
Kepler-914,1,1,0,1.28
HD 62509,1,1,0,9.06
alf Cen,3,1,0,
Kepler-79,1,4,0,1.1
Kepler-1073,1,3,0,
Kepler-91,1,1,0,9.3
Kepler-1997,1,1,0,1.07
Kepler-540,1,1,0,1.21
Kepler-101,1,2,0,1.1
Kepler-1372,1,1,0,
Kepler-1627,1,1,0,0.91
Kepler-1152,1,1,0,0.53
Kepler-1628,1,1,0,
Kepler-495,1,2,0,0.87
OGLE-2018-BLG-0596L,1,1,0,
KMT-2021-BLG-0171L,1,1,0,
Kepler-978,1,1,0,1.06
OGLE-2007-BLG-349L,2,1,1,
MOA-2019-BLG-008L,1,1,0,
Kepler-815,1,1,0,3.6
OGLE-2012-BLG-0950L,1,1,0,
KMT-2021-BLG-1105L,1,1,0,
Kepler-1616,1,1,0,1.81
KMT-2021-BLG-1077L,1,2,0,
Kepler-967,1,2,0,0.58
HIP 15799,2,1,0,0.93
Kepler-1063,2,1,0,1.14
Kepler-710,1,1,0,1.41
Kepler-129,1,3,0,1.36
HD 132563,3,1,0,
Kepler-841,1,1,0,0.72
Kepler-184,1,3,0,0.87
Kepler-141,1,2,0,
Kepler-960,1,1,0,
Kepler-1344,1,1,0,
Kepler-947,1,1,0,
HD 206610,1,1,0,4.8
HD 208487,1,1,0,
Kepler-169,1,5,0,0.73
Kepler-1149,1,1,0,0.88
Kepler-1529,1,1,0,0.7
Kepler-1086,2,2,0,0.67
HD 66428,1,2,0,
Kepler-711,1,1,0,0.7
Kepler-411,2,4,0,1.99
Kepler-552,1,1,0,1.06
HD 181342,1,1,0,5.3
Kepler-1353,1,1,0,0.8
Kepler-567,1,1,0,0.77
Kepler-257,1,3,0,0.9
Kepler-487,1,3,0,0.87
HD 74156,1,2,0,1.51
Kepler-1797,1,1,0,1.1
Kepler-373,1,2,0,0.84
HD 4203,1,2,0,
Kepler-1540,2,1,0,0.64
Kepler-1656,1,2,0,1.09
Kepler-1989,1,1,0,1.3
GJ 685,1,1,0,0.58
Kepler-1785,1,1,0,1.02
Kepler-1228,1,1,0,0.7
Kepler-266,1,2,0,1.01
Kepler-1591,1,1,0,0.91
Kepler-901,1,1,0,0.54
Kepler-1745,1,1,0,1.0
TOI-4600,1,2,0,0.83
Kepler-714,1,1,0,1.61
Kepler-426,1,1,0,0.93
HD 10697,1,1,0,
