table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
stellarhosts,st_lum,double,,,,Stellar Luminosity [log(Solar)],,log(Lsun),,0,0,0,69,12.3f
stellarhosts,st_lumerr1,double,,,,Stellar Luminosity Upper Unc. [log(Solar)],,log(Lsun),,0,0,0,70,12.3f
stellarhosts,st_lumerr2,double,,,,Stellar Luminosity Lower Unc. [log(Solar)],,log(Lsun),,0,0,0,71,12.3f
stellarhosts,st_lumlim,int,,,,Stellar Luminosity Limit Flag,,,,0,0,0,73,10d
stellarhosts,st_logg,double,,,,Stellar Surface Gravity [log(cm/s**2)],,log(cm/s**2),,0,1,0,76,8.2f
stellarhosts,st_loggerr1,double,,,,Stellar Surface Gravity Upper Unc. [log(cm/s**2)],,log(cm/s**2),,0,1,0,77,8.2f
stellarhosts,st_loggerr2,double,,,,Stellar Surface Gravity Lower Unc. [log(cm/s**2)],,log(cm/s**2),,0,1,0,78,8.2f
stellarhosts,st_logglim,int,,,,Stellar Surface Gravity Limit Flag,,,,0,1,0,80,11d
stellarhosts,st_age,double,,,,Stellar Age [Gyr],,Gyr,,0,0,0,83,7.3f
stellarhosts,st_ageerr1,double,,,,Stellar Age Upper Unc. [Gyr],,Gyr,,0,0,0,84,7.3f
stellarhosts,st_ageerr2,double,,,,Stellar Age Lower Unc. [Gyr],,Gyr,,0,0,0,85,7.3f
stellarhosts,st_agelim,int,,,,Stellar Age Limit Flag,,,,0,0,0,87,10d
stellarhosts,st_mass,double,,,,Stellar Mass [Solar mass],,Msun,,0,1,0,90,6.2f
stellarhosts,st_masserr1,double,,,,Stellar Mass Upper Unc. [Solar mass],,Msun,,0,1,0,91,6.2f
stellarhosts,st_masserr2,double,,,,Stellar Mass Lower Unc. [Solar mass],,Msun,,0,1,0,92,6.2f
stellarhosts,st_masslim,int,,,,Stellar Mass Limit Flag,,,,0,1,0,94,11d
stellarhosts,st_dens,double,,,,Stellar Density [g/cm**3],,g/cm**3,,0,0,0,97,8.4f
stellarhosts,st_denserr1,double,,,,Stellar Density Upper Unc. [g/cm**3],,g/cm**3,,0,0,0,98,8.4f
stellarhosts,st_denserr2,double,,,,Stellar Density Lower Unc. [g/cm**3],,g/cm**3,,0,0,0,99,8.4f
stellarhosts,st_denslim,int,,,,Stellar Density Limit Flag,,,,0,0,0,101,11d
stellarhosts,st_rad,double,,,,Stellar Radius [Solar Radius],,Rsun,,0,1,0,104,6.2f
stellarhosts,st_raderr1,double,,,,Stellar Radius Upper Unc. [Solar Radius],,Rsun,,0,1,0,105,6.2f
stellarhosts,st_raderr2,double,,,,Stellar Radius Lower Unc. [Solar Radius],,Rsun,,0,1,0,106,6.2f
stellarhosts,st_radlim,int,,,,Stellar Radius Limit Flag,,,,0,1,0,108,10d
stellarhosts,sy_snum,int,,,,Number of Stars,,,,0,1,0,112,8d
stellarhosts,sy_pnum,int,,,,Number of Planets,,,,0,1,0,113,8d
stellarhosts,sy_mnum,int,,,,Number of Moons,,,,0,0,0,114,8d
stellarhosts,sy_pm,double,,,,Total Proper Motion [mas/yr],,mas/yr,,0,0,0,115,14.7f
stellarhosts,sy_pmerr1,double,,,,Total Proper Motion Upper Unc [mas/yr],,mas/yr,,0,0,0,116,14.7f
stellarhosts,sy_pmerr2,double,,,,Total Proper Motion Lower Unc [mas/yr],,mas/yr,,0,0,0,117,14.7f
stellarhosts,sy_pmra,double,,,,Proper Motion (RA) [mas/yr],,mas/yr,,0,0,0,121,14.7f
stellarhosts,sy_pmraerr1,double,,,,Proper Motion (RA) [mas/yr] Upper Unc,,mas/yr,,0,0,0,122,14.7f
stellarhosts,sy_pmraerr2,double,,,,Proper Motion (RA) [mas/yr] Lower Unc,,mas/yr,,0,0,0,123,14.7f
stellarhosts,sy_pmdec,double,,,,Proper Motion (Dec) [mas/yr],,mas/yr,,0,0,0,127,14.7f
stellarhosts,sy_pmdecerr1,double,,,,Proper Motion (Dec) [mas/yr] Upper Unc,,mas/yr,,0,0,0,128,14.7f
stellarhosts,sy_pmdecerr2,double,,,,Proper Motion (Dec) [mas/yr] Lower Unc,,mas/yr,,0,0,0,129,14.7f
stellarhosts,sy_plx,double,,,,Parallax [mas],,mas,,0,0,0,133,14.7f
stellarhosts,sy_plxerr1,double,,,,Parallax [mas] Upper Unc,,mas,,0,0,0,134,14.7f
stellarhosts,sy_plxerr2,double,,,,Parallax [mas] Lower Unc,,mas,,0,0,0,135,14.7f
stellarhosts,sy_dist,double,,,,Distance [pc],,pc,,0,1,0,139,14.7f
stellarhosts,sy_disterr1,double,,,,Distance [pc] Upper Unc,,pc,,0,1,0,140,14.7f
stellarhosts,sy_disterr2,double,,,,Distance [pc] Lower Unc,,pc,,0,1,0,141,14.7f
stellarhosts,sy_bmag,double,,,,B (Johnson) Magnitude,,mag,,0,0,0,146,14.7f
stellarhosts,sy_bmagerr1,double,,,,B (Johnson) Magnitude Upper Unc,,mag,,0,0,0,147,14.7f
stellarhosts,sy_bmagerr2,double,,,,B (Johnson) Magnitude Lower Unc,,mag,,0,0,0,148,14.7f
stellarhosts,sy_vmag,double,,,,V (Johnson) Magnitude,,mag,,0,1,0,152,14.7f
stellarhosts,sy_vmagerr1,double,,,,V (Johnson) Magnitude Upper Unc,,mag,,0,1,0,153,14.7f
stellarhosts,sy_vmagerr2,double,,,,V (Johnson) Magnitude Lower Unc,,mag,,0,1,0,154,14.7f
stellarhosts,sy_jmag,double,,,,J (2MASS) Magnitude,,mag,,0,0,0,158,14.7f
stellarhosts,sy_jmagerr1,double,,,,J (2MASS) Magnitude Upper Unc,,mag,,0,0,0,159,14.7f
stellarhosts,sy_jmagerr2,double,,,,J (2MASS) Magnitude Lower Unc,,mag,,0,0,0,160,14.7f
stellarhosts,sy_hmag,double,,,,H (2MASS) Magnitude,,mag,,0,0,0,164,14.7f
stellarhosts,sy_hmagerr1,double,,,,H (2MASS) Magnitude Upper Unc,,mag,,0,0,0,165,14.7f
stellarhosts,sy_hmagerr2,double,,,,H (2MASS) Magnitude Lower Unc,,mag,,0,0,0,166,14.7f
stellarhosts,sy_kmag,double,,,,Ks (2MASS) Magnitude,,mag,,0,1,0,170,14.7f
stellarhosts,sy_kmagerr1,double,,,,Ks (2MASS) Magnitude Upper Unc,,mag,,0,1,0,171,14.7f
stellarhosts,sy_kmagerr2,double,,,,Ks (2MASS) Magnitude Lower Unc,,mag,,0,1,0,172,14.7f
stellarhosts,sy_umag,double,,,,u (Sloan) Magnitude,,mag,,0,0,0,176,14.7f
stellarhosts,sy_umagerr1,double,,,,u (Sloan) Magnitude Upper Unc,,mag,,0,0,0,177,14.7f
stellarhosts,sy_umagerr2,double,,,,u (Sloan) Magnitude Lower Unc,,mag,,0,0,0,178,14.7f
stellarhosts,sy_rmag,double,,,,r (Sloan) Magnitude,,mag,,0,0,0,182,14.7f
stellarhosts,sy_rmagerr1,double,,,,r (Sloan) Magnitude Upper Unc,,mag,,0,0,0,183,14.7f
stellarhosts,sy_rmagerr2,double,,,,r (Sloan) Magnitude Lower Unc,,mag,,0,0,0,184,14.7f
stellarhosts,sy_imag,double,,,,i (Sloan) Magnitude,,mag,,0,0,0,188,14.7f
stellarhosts,sy_imagerr1,double,,,,i (Sloan) Magnitude Upper Unc,,mag,,0,0,0,189,14.7f
